"exp","treatment","rep","genotype","plant","file.name","hyp_mm"
"2","sun","A","yuc8",92,"yuc_SAS_hyp_exp2_001.tif:4644-3953",1.023
"2","sun","A","yuc8",93,"yuc_SAS_hyp_exp2_001.tif:4608-4114",2.372
"2","sun","A","yuc8",94,"yuc_SAS_hyp_exp2_001.tif:4610-4232",2.311
"2","shade","B","Col",5,"yuc_SAS_hyp_exp2_002.tif:1363-1567",2.336
"2","shade","B","Col",6,"yuc_SAS_hyp_exp2_002.tif:1275-1725",8.287
"2","shade","B","Col",7,"yuc_SAS_hyp_exp2_002.tif:1288-1868",6.699
"2","shade","B","Col",8,"yuc_SAS_hyp_exp2_002.tif:1367-2014",6.949
"2","shade","B","Col",9,"yuc_SAS_hyp_exp2_002.tif:1307-2150",6.231
"2","shade","B","yuc2yuc5yuc8yuc9",10,"yuc_SAS_hyp_exp2_002.tif:1901-1055",2.526
"2","shade","B","yuc2yuc5yuc8yuc9",11,"yuc_SAS_hyp_exp2_002.tif:1921-1219",1.273
"2","shade","B","Col",12,"yuc_SAS_hyp_exp2_002.tif:1833-1553",8.857
"2","shade","B","Col",13,"yuc_SAS_hyp_exp2_002.tif:1852-1812",6.096
"2","shade","B","Col",14,"yuc_SAS_hyp_exp2_002.tif:1891-2058",5.917
"2","shade","B","yuc9",15,"yuc_SAS_hyp_exp2_002.tif:2507-0553",6.317
"2","shade","B","yuc9",16,"yuc_SAS_hyp_exp2_002.tif:2478-0726",7.179
"2","shade","B","yuc9",17,"yuc_SAS_hyp_exp2_002.tif:2549-0865",5.601
"2","shade","B","yuc9",18,"yuc_SAS_hyp_exp2_002.tif:2497-1061",7.417
"2","shade","B","yuc9",19,"yuc_SAS_hyp_exp2_002.tif:2466-1111",7.658
"2","shade","B","yuc9",20,"yuc_SAS_hyp_exp2_002.tif:2502-1217",6.783
"2","shade","B","yuc5",21,"yuc_SAS_hyp_exp2_002.tif:2498-1542",6.625
