"set","treatment","plant","rep","leaf","petioleLength","bladeLength","bladeWidth","bladeArea","bladePerimeter","bladeCircularity","who.dissected","genotype"
6,"sun","Col","3","6",4.188,11.912,8.15,76.244,51.223,0.365,"Kazu","Col"
6,"shade","Col","1","3",11.912,14.049,10.592,116.876,54.271,0.499,"Kazu","Col"
6,"shade","Col","1","4",12.509,15.264,10.496,125.826,56.642,0.493,"Kazu","Col"
6,"shade","Col","1","5",14.042,19.206,9.79,147.679,61.299,0.494,"Kazu","Col"
6,"shade","Col","1","6",14.767,19.937,10.968,171.752,66.209,0.492,"Kazu","Col"
6,"shade","Col","2","3",9.753,14.569,10.415,119.175,56.473,0.47,"Kazu","Col"
6,"shade","Col","2","4",12.629,14.962,10.972,128.937,58.166,0.479,"Kazu","Col"
6,"shade","Col","2","5",12.485,17.853,11.464,160.743,63.5,0.501,"Kazu","Col"
6,"shade","Col","2","6",12.314,20.026,8.822,138.763,65.871,0.402,"Kazu","Col"
6,"shade","Col","3","3",9.277,12.213,9.092,87.215,48.853,0.459,"Kazu","Col"
6,"shade","Col","3","4",8.94,13.724,10.749,115.858,55.541,0.472,"Kazu","Col"
6,"shade","Col","3","5",9.55,15.316,10.302,123.923,56.388,0.49,"Kazu","Col"
6,"shade","Col","3","6",8.706,17.502,10.3,141.582,61.722,0.467,"Kazu","Col"
7,"sun","yucQ","1","3",8.768,12.683,10.005,99.663,51.308,0.476,"Kazu","yuc2589"
7,"sun","yucQ","1","4",8.006,13.549,10.553,112.294,53.679,0.49,"Kazu","yuc2589"
7,"sun","yucQ","1","5",7.587,17.985,11.28,159.326,64.516,0.481,"Kazu","yuc2589"
7,"sun","yucQ","1","6",8.822,16.622,10.863,141.813,58.166,0.527,"Kazu","yuc2589"
7,"sun","yucQ","2","3",10.262,13.889,10.853,118.385,56.049,0.474,"Kazu","yuc2589"
7,"sun","yucQ","2","4",9.27,15.306,11.688,140.51,60.621,0.48,"Kazu","yuc2589"
7,"sun","yucQ","2","5",8.513,19.39,11.891,181.087,71.459,0.446,"Kazu","yuc2589"
7,"sun","yucQ","2","6",9.669,17.995,11.509,162.659,62.823,0.518,"Kazu","yuc2589"
7,"sun","yucQ","3","3",7.082,11.602,9.808,89.371,47.498,0.498,"Kazu","yuc2589"
7,"sun","yucQ","3","4",8.251,14.777,10.507,121.946,58.081,0.454,"Kazu","yuc2589"
7,"sun","yucQ","3","5",8.386,17.325,10.662,145.08,61.553,0.481,"Kazu","yuc2589"
7,"sun","yucQ","3","6",7.001,18.462,11.01,159.647,68.919,0.422,"Kazu","yuc2589"
7,"sun","Col","1","3",9.22,12.494,10.241,100.494,50.631,0.493,"Kazu","Col"
7,"sun","Col","1","4",7.214,13.305,10.524,109.968,53.679,0.48,"Kazu","Col"
7,"sun","Col","1","5",10.495,16.789,9.167,120.88,55.795,0.488,"Kazu","Col"
7,"sun","Col","1","6",9.004,16.39,9.31,119.844,57.827,0.45,"Kazu","Col"
7,"sun","Col","2","3",9.211,11.839,9.702,90.209,50.546,0.444,"Kazu","Col"
7,"sun","Col","2","4",10.558,13.242,9.64,100.254,56.473,0.395,"Kazu","Col"
7,"sun","Col","2","5",7.555,15.237,9.908,118.566,56.303,0.47,"Kazu","Col"
7,"sun","Col","2","6",8.079,14.449,8.585,97.428,54.695,0.409,"Kazu","Col"
7,"sun","Col","3","3",8.901,10.505,8.792,72.534,45.889,0.433,"Kazu","Col"
7,"sun","Col","3","4",8.88,12.87,10.893,110.104,57.15,0.424,"Kazu","Col"
7,"sun","Col","3","5",9.449,15.872,10.604,132.181,64.093,0.404,"Kazu","Col"
7,"sun","Col","3","6",8.321,16.212,9.806,124.856,64.347,0.379,"Kazu","Col"
7,"shade","yucQ","1","3",6.671,14.293,10.936,122.76,58.759,0.447,"Kazu","yuc2589"
7,"shade","yucQ","1","4",6.475,15.062,9.955,117.761,55.457,0.481,"Kazu","yuc2589"
